,location,isp,speed,images
186,Kanombe,['MTN'],2.7 Mbps ,['http://pbs.twimg.com/media/EUrQ5zTU4AA_QTt.jpg']
187,Kimironko,"['Truconnect', '4G']",5.7 Mbps,['http://pbs.twimg.com/media/EUrQ3WHUwAIaSqN.jpg']
188,Kisimenti ,"['Airtel', '3G']",,['http://pbs.twimg.com/media/EUrQM_dUcAAKtk-.jpg']
189,Nyamirambo,"['Airtel', '3G']",2.4 Mbps,['http://pbs.twimg.com/media/EUrPrZFUcAEq_UZ.jpg']
190,,"['MTN', '3G']","920kbps , ISP: MTN 3G https://t.co/Up9BLf9HxK",['http://pbs.twimg.com/media/EUrPH1RVAAE3U4c.jpg']
191,,,,['http://pbs.twimg.com/media/EUrOTgZU4AE7vcp.jpg']
192,Gisozi,"['airtel', '3G']",1.3 mbps,['http://pbs.twimg.com/media/EUrOEGBUUAMlbrb.jpg']
193,,,,['http://pbs.twimg.com/media/EUrNr2aUEAEoowp.jpg']
194,,,,['http://pbs.twimg.com/media/EUrNcQ2UUAE3UKf.jpg']
195,Kagarama,"['MTN', '3G']",7.4 Mbps,['http://pbs.twimg.com/media/EUrNHpCUUAErakF.jpg']
196,Sonatubes,['Airtel'],1.2 Mbps,['http://pbs.twimg.com/media/EUrNAEdU8AAmqzt.jpg']
197,Rubilizi,"['aitell', '3G']",,['http://pbs.twimg.com/media/EUrMnRjUYAA8qEx.jpg']
198,Kacyiru https://t.co/awou8X6yME,,,['http://pbs.twimg.com/media/EUrLsKNU8AA1dD-.jpg']
199,,[],8.1 Mbps,['http://pbs.twimg.com/media/EUrLfclUwAEX2B_.jpg']
200,Rusororo,['Axiom'],,['http://pbs.twimg.com/media/EUrLMXvU4AELI8e.jpg']
201,,"['Liquid', 'Telecom']",22 Mbps ,['http://pbs.twimg.com/media/EUrLJoOU8AAkrZ0.jpg']
202,Nyamata,['MTN'],3.3 Mbps,['http://pbs.twimg.com/media/EUrKxSfUEAA3Xqm.png']
203,,,,['http://pbs.twimg.com/media/EUrK2ehU8AUfZC8.png']
204,Kicukiro/sonatube ,['@airtelrw'],,['http://pbs.twimg.com/media/EUrKR_kUYAAbzlW.jpg']
205,Kak City aka Kacyiru,,,['http://pbs.twimg.com/media/EUrKDzRUMAA2jjT.jpg']
206,Kicukiro,"['Airtel', '3G']",4.5 Mbps,['http://pbs.twimg.com/media/EUrI9ddVAAQTEv0.jpg']
207,,"['MTN', 'Rwanda😩']",1.7 Mbps (yarivuye kuri 490kbps),['http://pbs.twimg.com/media/EUrIwU-UUAIdwhy.jpg']
208,,,,['http://pbs.twimg.com/media/EUrIfVxUYAIFXuY.jpg']
209,Kimironko https://t.co/GhENnW2bxJ,['TrueConnect'],,['http://pbs.twimg.com/media/EUrH9pZUMAMcUJf.jpg']
210,Kicukiro (Rebero),"['MTN', '3G']",N/A,['http://pbs.twimg.com/media/EUrIBacUYAAMBlm.jpg']
211,Rebero,"['Liquid', 'Home']",,['http://pbs.twimg.com/media/EUrH7qrUcAAGUhN.jpg']
212,Kicukiro ,"['Mtn', '3G']",3.2Mbps,['http://pbs.twimg.com/media/EUrHvKbUwAICMYC.jpg']
213,Kicukiro,['Airtel'],1.3 Mbps,['http://pbs.twimg.com/media/EUrG2E-U8AAVe2t.jpg']
214,Nyamirambo/ Nyakabanda     ,"['Mango', 'Telecom']",,['http://pbs.twimg.com/media/EUrGlodUYAAIdFl.jpg']
215,Ruyenzi       ,['@airtelrw'],120 kbps⬇️ 850 kbps⬆️,['http://pbs.twimg.com/media/EUrFoS9UEAAsQsJ.jpg']
216,Gisozi,['Airtel'],15Mbps,['http://pbs.twimg.com/media/EUrFg4mUwAAJIOl.jpg']
217,Kimironko,"['Airtel', '3G']",1.6Mbps,['http://pbs.twimg.com/media/EUrFEJPU4AAo-YB.jpg']
218,,,,['http://pbs.twimg.com/media/EUrETNfU0AAfHsR.png']
219,Gikondo ,"['MTN', 'Rwanda', '(3G)']",3.8 Mbps,['http://pbs.twimg.com/media/EUrEJMcU8AAnAqE.jpg']
220,Gatsata ,"['Mango', 'Telecom']",1.4 Mbps,['http://pbs.twimg.com/media/EUrDoO2UwAEShqY.png']
221,,['MTN'],3.7 ,['http://pbs.twimg.com/media/EUrDpCHUwAEtUf6.jpg']
222,Kagarama,[],65Kbps,['http://pbs.twimg.com/media/EUrDfprU4AAKiY7.jpg']
223,Musanze,['Airtel'],,['http://pbs.twimg.com/media/EUrCbssVAAEAGEC.png']
224,Kicukiro,['@airtelrw'],6.6 Mbps,['http://pbs.twimg.com/media/EUrCBrEUcAADFH_.jpg']
225,Kimironko ,"['MTN', 'Rwanda']",17 Mbps 😀,['http://pbs.twimg.com/media/EUrBbiWU4AAzP2b.png']
226,Kanombe- Nyarugunga https://t.co/LoQRcsdBs6,,,['http://pbs.twimg.com/media/EUrBwNOUwAAk0kG.jpg']
227,Town,['MTN'],2.8 Mbps,['http://pbs.twimg.com/media/EUrBWPNUYAEIPVV.jpg']
228,Kacyiru ,['Liquid'],,['http://pbs.twimg.com/media/EUrBTzAU0AEpaEM.jpg']
229,Gikondo,[],3.9 Mbps (🙂),['http://pbs.twimg.com/media/EUrAO0iUMAAPuox.jpg']
230,Gisozi | Gacinjiru       ,['@MTNRwanda'],170 Kbps ⬇️ 460 Kbps ⬆️ ,['http://pbs.twimg.com/media/EUrASm3U8AEFC1b.jpg']
231,,[],330 Kbps (☹️),['http://pbs.twimg.com/media/EUq_kqvVAAEBxCq.png']
232,Gikondo,['MTN'],3.9 Mbps,['http://pbs.twimg.com/media/EUq_sFgVAAIq24z.jpg']
233,Rwamagana ,"['MTN', '3G']",3.5 Mbps,['http://pbs.twimg.com/media/EUq-MKtU8AAI532.png']
234,,,,['http://pbs.twimg.com/media/EUq8kMyUUAA4dj4.jpg']
235,,,,['http://pbs.twimg.com/media/EUq7L7SUcAA27tr.jpg']
236,Nyakabanda,[],1.1 Mbps,
237,,['Airtel'],9.9 Mbps,
238,Mumena,"['Mango', 'Telecom']",8.5 Mbps,
239,Gikondo,['MTN'],7.2 Mbps,
240,Kimisagara,['Airtel'],1.2 Mbps,
241,Gisozi,"['CB', 'Net']",34 Mbps,
242,Kimironko,[],4.6 Mbps,
